"","x"
"363","AR-B"
"364","AR-C"
"365","AR-D"
"366","AR-E"
"367","AR-F"
"368","AR-G"
"369","AR-H"
"370","AR-J"
"371","AR-K"
"372","AR-L"
"373","AR-M"
"374","AR-N"
"375","AR-P"
"376","AR-Q"
"377","AR-R"
"378","AR-S"
"379","AR-T"
"380","AR-U"
"381","AR-V"
"382","AR-W"
"383","AR-X"
"384","AR-Y"
"385","AR-Z"
"386","AS-"
"387","AT-"
"388","AT-1"
"389","AT-2"
"390","AT-3"
"391","AT-4"
"392","AT-5"
"393","AT-6"
"394","AT-7"
"395","AT-8"
"396","AT-9"
"397","AU-"
"398","AU-ACT"
"399","AU-NSW"
"400","AU-NT"
"401","AU-QLD"
"402","AU-SA"
"403","AU-TAS"
"404","AU-VIC"
"405","AU-WA"
"406","AW-"
"407","AZ-"
"408","AZ-AB"
"409","AZ-ABS"
"410","AZ-AGA"
"411","AZ-AGC"
"412","AZ-AGM"
"413","AZ-AGS"
"414","AZ-AGU"
"415","AZ-AST"
"416","AZ-BA"
"417","AZ-BAL"
"418","AZ-BAR"
"419","AZ-BEY"
"420","AZ-BIL"
"421","AZ-CAB"
"422","AZ-CAL"
"423","AZ-DAS"
"424","AZ-DAV"
"425","AZ-FUZ"
"426","AZ-GA"
"427","AZ-GAD"
"428","AZ-GOR"
"429","AZ-GOY"
"430","AZ-HAC"
"431","AZ-IMI"
"432","AZ-ISM"
"433","AZ-KAL"
"434","AZ-KUR"
"435","AZ-LA"
"436","AZ-LAC"
"437","AZ-LAN"
"438","AZ-LER"
"439","AZ-MAS"
"440","AZ-MI"
"441","AZ-NA"
"442","AZ-NEF"
"443","AZ-NX"
"444","AZ-OGU"
"445","AZ-QAB"
"446","AZ-QAX"
"447","AZ-QAZ"
"448","AZ-QBA"
"449","AZ-QBI"
"450","AZ-QOB"
"451","AZ-QUS"
"452","AZ-SA"
"453","AZ-SAB"
"454","AZ-SAK"
"455","AZ-SAL"
"456","AZ-SAT"
"457","AZ-SIY"
"458","AZ-SKR"
"459","AZ-SM"
"460","AZ-SMI"
"461","AZ-SMX"
"462","AZ-SS"
"463","AZ-SUS"
"464","AZ-TAR"
"465","AZ-TOV"
"466","AZ-UCA"
"467","AZ-XA"
"468","AZ-XAC"
"469","AZ-XAN"
"470","AZ-XCI"
"471","AZ-XIZ"
"472","AZ-XVD"
"473","AZ-YAR"
"474","AZ-YE"
"475","AZ-YEV"
"476","AZ-ZAN"
"477","AZ-ZAQ"
"478","AZ-ZAR"
"479","BA-"
"480","BA-BIH"
"481","BA-SRP"
"482","BB-"
"483","BB-01"
"484","BB-02"
"485","BB-03"
"486","BB-04"
"487","BB-05"
"488","BB-06"
"489","BB-07"
"490","BB-08"
"491","BB-09"
"492","BB-10"
"493","BB-11"
"494","BD-"
"495","BD-1"
"496","BD-2"
"497","BD-3"
"498","BD-4"
"499","BD-5"
"500","BD-6"
"501","BE-"
"502","BE-BRU"
"503","BE-VLG"
"504","BE-WAL"
"505","BF-"
"506","BF-BAL"
"507","BF-BAM"
"508","BF-BAN"
"509","BF-BAZ"
"510","BF-BGR"
"511","BF-BLG"
"512","BF-BLK"
"513","BF-COM"
"514","BF-GAN"
"515","BF-GNA"
"516","BF-GOU"
"517","BF-HOU"
"518","BF-IOB"
"519","BF-KAD"
"520","BF-KEN"
"521","BF-KMD"
"522","BF-KMP"
"523","BF-KOP"
"524","BF-KOS"
"525","BF-KOT"
"526","BF-KOW"
"527","BF-LER"
"528","BF-LOR"
"529","BF-MOU"
"530","BF-NAM"
"531","BF-NAO"
"532","BF-NAY"
"533","BF-NOU"
"534","BF-OUB"
"535","BF-OUD"
"536","BF-PAS"
"537","BF-PON"
"538","BF-SEN"
"539","BF-SIS"
"540","BF-SMT"
"541","BF-SNG"
"542","BF-SOM"
"543","BF-SOR"
"544","BF-TAP"
"545","BF-TUI"
"546","BF-YAG"
"547","BF-YAT"
"548","BF-ZIR"
"549","BF-ZON"
"550","BF-ZOU"
"551","BG-"
"552","BG-01"
"553","BG-02"
"554","BG-03"
"555","BG-04"
"556","BG-05"
"557","BG-06"
"558","BG-07"
"559","BG-08"
"560","BG-09"
"561","BG-10"
"562","BG-11"
"563","BG-12"
"564","BG-13"
"565","BG-14"
"566","BG-15"
"567","BG-16"
"568","BG-17"
"569","BG-18"
"570","BG-19"
"571","BG-20"
"572","BG-21"
"573","BG-22"
"574","BG-23"
"575","BG-24"
"576","BG-25"
"577","BG-26"
"578","BG-27"
"579","BG-28"
"580","BH-"
"581","BH-13"
"582","BH-14"
"583","BH-15"
"584","BH-16"
"585","BH-17"
"586","BI-"
"587","BI-BB"
"588","BI-BJ"
"589","BI-BR"
"590","BI-CA"
"591","BI-CI"
"592","BI-GI"
"593","BI-KI"
"594","BI-KR"
"595","BI-KY"
"596","BI-MA"
"597","BI-MU"
"598","BI-MW"
"599","BI-MY"
"600","BI-NG"
"601","BI-RT"
"602","BI-RY"
"603","BJ-"
"604","BJ-AK"
"605","BJ-AL"
"606","BJ-AQ"
"607","BJ-BO"
"608","BJ-CO"
"609","BJ-DO"
"610","BJ-KO"
"611","BJ-LI"
"612","BJ-MO"
"613","BJ-OU"
"614","BJ-PL"
"615","BJ-ZO"
"616","BL-"
"617","BM-"
"618","BN-"
"619","BN-BE"
"620","BN-BM"
"621","BN-TE"
"622","BN-TU"
"623","BO-"
"624","BO-B"
"625","BO-C"
"626","BO-H"
"627","BO-L"
"628","BO-N"
"629","BO-O"
"630","BO-P"
"631","BO-S"
"632","BO-T"
"633","BQ-"
"634","BQ-BO"
"635","BQ-SA"
"636","BQ-SE"
"637","BR-"
"638","BR-AC"
"639","BR-AL"
"640","BR-AM"
"641","BR-AP"
"642","BR-BA"
"643","BR-CE"
"644","BR-DF"
"645","BR-ES"
"646","BR-GO"
"647","BR-MA"
"648","BR-MG"
"649","BR-MS"
"650","BR-MT"
"651","BR-PA"
"652","BR-PB"
"653","BR-PE"
"654","BR-PI"
"655","BR-PR"
"656","BR-RJ"
"657","BR-RN"
"658","BR-RO"
"659","BR-RR"
"660","BR-RS"
"661","BR-SC"
"662","BR-SE"
"663","BR-SP"
"664","BR-TO"
"665","BS-"
"666","BS-AC"
"667","BS-BI"
"668","BS-BY"
"669","BS-CI"
"670","BS-EX"
"671","BS-FC"
"672","BS-FP"
"673","BS-GH"
"674","BS-GT"
"675","BS-HI"
"676","BS-HR"
"677","BS-IN"
"678","BS-KB"
"679","BS-LI"
"680","BS-MG"
"681","BS-MH"
"682","BS-NP"
"683","BS-NS"
"684","BS-RI"
"685","BS-RS"
"686","BS-SP"
"687","BS-SR"
"688","BT-"
"689","BT-11"
"690","BT-12"
"691","BT-13"
"692","BT-14"
"693","BT-15"
"694","BT-21"
"695","BT-22"
"696","BT-23"
"697","BT-24"
"698","BT-31"
"699","BT-32"
"700","BT-33"
"701","BT-34"
"702","BT-41"
"703","BT-42"
"704","BT-43"
"705","BT-44"
"706","BT-45"
"707","BT-GA"
"708","BT-TY"
"709","BV-"
"710","BW-"
"711","BW-CE"
"712","BW-GH"
"713","BW-KG"
"714","BW-KL"
"715","BW-KW"
"716","BW-NE"
"717","BW-NW"
"718","BW-SE"
"719","BW-SO"
"720","BY-"
"721","BY-BR"
"722","BY-HO"
"723","BY-HR"
"724","BY-MA"
"725","BY-MI"
"726","BY-VI"
"727","BZ-"
"728","BZ-BZ"
"729","BZ-CY"
"730","BZ-CZL"
"731","BZ-OW"
"732","BZ-SC"
"733","BZ-TOL"
"734","CA-"
"735","CA-AB"
"736","CA-BC"
"737","CA-MB"
"738","CA-NB"
"739","CA-NL"
"740","CA-NS"
"741","CA-NT"
"742","CA-NU"
"743","CA-ON"
"744","CA-PE"
"745","CA-QC"
"746","CA-SK"
"747","CA-YT"
"748","CC-"
"749","CD-"
"750","CD-BC"
"751","CD-BN"
"752","CD-EQ"
"753","CD-KA"
"754","CD-KE"
"755","CD-KN"
"756","CD-KW"
"757","CD-MA"
"758","CD-NK"
"759","CD-OR"
"760","CD-SK"
"761","CF-"
"762","CF-AC"
"763","CF-BB"
"764","CF-BGF"
"765","CF-BK"
"766","CF-HK"
"767","CF-HM"
"768","CF-HS"
"769","CF-KB"
"770","CF-KG"
"771","CF-LB"
"772","CF-MB"
"773","CF-MP"
"774","CF-NM"
"775","CF-OP"
"776","CF-SE"
"777","CF-UK"
"778","CF-VK"
"779","CG-"
"780","CG-11"
"781","CG-12"
"782","CG-13"
"783","CG-14"
"784","CG-15"
"785","CG-2"
"786","CG-5"
"787","CG-7"
"788","CG-8"
"789","CG-9"
"790","CG-BZV"
"791","CH-"
"792","CH-AG"
"793","CH-AI"
"794","CH-AR"
"795","CH-BE"
"796","CH-BL"
"797","CH-BS"
"798","CH-FR"
"799","CH-GE"
"800","CH-GL"
"801","CH-GR"
"802","CH-JU"
"803","CH-LU"
"804","CH-NE"
"805","CH-NW"
"806","CH-OW"
"807","CH-SG"
"808","CH-SH"
"809","CH-SO"
"810","CH-SZ"
"811","CH-TG"
"812","CH-TI"
"813","CH-UR"
"814","CH-VD"
"815","CH-VS"
"816","CH-ZG"
"817","CH-ZH"
"818","CI-"
"819","CI-01"
"820","CI-02"
"821","CI-03"
"822","CI-04"
"823","CI-05"
"824","CI-06"
"825","CI-07"
"826","CI-08"
"827","CI-09"
"828","CI-10"
"829","CI-11"
"830","CI-12"
"831","CI-13"
"832","CI-14"
"833","CI-15"
"834","CI-16"
"835","CI-17"
"836","CI-18"
"837","CI-19"
"838","CK-"
"839","CL-"
"840","CL-AI"
"841","CL-AN"
"842","CL-AP"
"843","CL-AR"
"844","CL-AT"
"845","CL-BI"
"846","CL-CO"
"847","CL-LI"
"848","CL-LL"
"849","CL-LR"
"850","CL-MA"
"851","CL-ML"
"852","CL-RM"
"853","CL-TA"
"854","CL-VS"
"855","CM-"
"856","CM-AD"
"857","CM-CE"
"858","CM-EN"
"859","CM-ES"
"860","CM-LT"
"861","CM-NO"
"862","CM-NW"
"863","CM-OU"
"864","CM-SU"
"865","CM-SW"
"866","CN-"
"867","CN-11"
"868","CN-12"
"869","CN-13"
"870","CN-14"
"871","CN-15"
"872","CN-21"
"873","CN-22"
"874","CN-23"
"875","CN-31"
"876","CN-32"
"877","CN-33"
"878","CN-34"
"879","CN-35"
"880","CN-36"
"881","CN-37"
"882","CN-41"
"883","CN-42"
"884","CN-43"
"885","CN-44"
"886","CN-45"
"887","CN-46"
"888","CN-50"
"889","CN-51"
"890","CN-52"
"891","CN-53"
"892","CN-54"
"893","CN-61"
"894","CN-62"
"895","CN-63"
"896","CN-64"
"897","CN-65"
"898","CO-"
"899","CO-AMA"
"900","CO-ANT"
"901","CO-ARA"
"902","CO-ATL"
"903","CO-BOL"
"904","CO-BOY"
"905","CO-CAL"
"906","CO-CAQ"
"907","CO-CAS"
"908","CO-CAU"
"909","CO-CES"
"910","CO-CHO"
"911","CO-COR"
"912","CO-CUN"
"913","CO-DC"
"914","CO-GUA"
"915","CO-GUV"
"916","CO-HUI"
"917","CO-LAG"
"918","CO-MAG"
"919","CO-MET"
"920","CO-NAR"
"921","CO-NSA"
"922","CO-PUT"
"923","CO-QUI"
"924","CO-RIS"
"925","CO-SAN"
"926","CO-SAP"
"927","CO-SUC"
"928","CO-TOL"
"929","CO-VAC"
"930","CO-VAU"
"931","CO-VID"
"932","CP-"
"933","CR-"
"934","CR-A"
"935","CR-C"
"936","CR-G"
"937","CR-H"
"938","CR-L"
"939","CR-P"
"940","CR-SJ"
"941","CS-"
"942","CU-"
"943","CU-01"
"944","CU-03"
"945","CU-04"
"946","CU-05"
"947","CU-06"
"948","CU-07"
"949","CU-08"
"950","CU-09"
"951","CU-10"
"952","CU-11"
"953","CU-12"
"954","CU-13"
"955","CU-14"
"956","CU-15"
"957","CU-16"
"958","CU-99"
"959","CV-"
"960","CV-B"
"961","CV-S"
"962","CW-"
"963","CX-"
"964","CY-"
"965","CY-01"
"966","CY-02"
"967","CY-03"
"968","CY-04"
"969","CY-05"
"970","CY-06"
"971","CZ-"
"972","CZ-JC"
"973","CZ-JM"
"974","CZ-KA"
"975","CZ-KR"
"976","CZ-LI"
"977","CZ-MO"
"978","CZ-OL"
"979","CZ-PA"
"980","CZ-PL"
"981","CZ-PR"
"982","CZ-ST"
"983","CZ-US"
"984","CZ-VY"
"985","CZ-ZL"
"986","DE-"
"987","DE-BB"
"988","DE-BE"
"989","DE-BW"
"990","DE-BY"
"991","DE-HB"
"992","DE-HE"
"993","DE-HH"
"994","DE-MV"
"995","DE-NI"
"996","DE-NW"
"997","DE-RP"
"998","DE-SH"
"999","DE-SL"
"1000","DE-SN"
"1001","DE-ST"
"1002","DE-TH"
"1003","DJ-"
"1004","DJ-AR"
"1005","DJ-AS"
"1006","DJ-DI"
"1007","DJ-DJ"
"1008","DJ-OB"
"1009","DJ-TA"
"1010","DK-"
"1011","DK-81"
"1012","DK-82"
"1013","DK-83"
"1014","DK-84"
"1015","DK-85"
"1016","DM-"
"1017","DM-02"
"1018","DM-03"
"1019","DM-04"
"1020","DM-05"
"1021","DM-06"
"1022","DM-07"
"1023","DM-08"
"1024","DM-09"
"1025","DM-10"
"1026","DM-11"
"1027","DO-"
"1028","DO-01"
"1029","DO-02"
"1030","DO-03"
"1031","DO-04"
"1032","DO-05"
"1033","DO-06"
"1034","DO-07"
"1035","DO-08"
"1036","DO-09"
"1037","DO-10"
"1038","DO-11"
"1039","DO-12"
"1040","DO-13"
"1041","DO-14"
"1042","DO-15"
"1043","DO-16"
"1044","DO-17"
"1045","DO-18"
"1046","DO-19"
"1047","DO-20"
"1048","DO-21"
"1049","DO-22"
"1050","DO-23"
"1051","DO-24"
"1052","DO-25"
"1053","DO-26"
"1054","DO-27"
"1055","DO-28"
"1056","DO-29"
"1057","DO-30"
"1058","DO-31"
"1059","DO-32"
"1060","DZ-"
"1061","DZ-01"
"1062","DZ-02"
"1063","DZ-03"
"1064","DZ-04"
"1065","DZ-05"
"1066","DZ-06"
"1067","DZ-07"
"1068","DZ-08"
"1069","DZ-09"
"1070","DZ-10"
"1071","DZ-11"
"1072","DZ-12"
"1073","DZ-13"
"1074","DZ-14"
"1075","DZ-15"
"1076","DZ-16"
"1077","DZ-17"
"1078","DZ-18"
"1079","DZ-19"
"1080","DZ-20"
"1081","DZ-21"
"1082","DZ-22"
"1083","DZ-23"
"1084","DZ-24"
"1085","DZ-25"
"1086","DZ-26"
"1087","DZ-27"
"1088","DZ-28"
"1089","DZ-29"
"1090","DZ-30"
"1091","DZ-31"
"1092","DZ-32"
"1093","DZ-33"
"1094","DZ-34"
"1095","DZ-35"
"1096","DZ-36"
"1097","DZ-37"
"1098","DZ-38"
"1099","DZ-39"
"1100","DZ-40"
"1101","DZ-41"
"1102","DZ-42"
"1103","DZ-43"
"1104","DZ-44"
"1105","DZ-45"
"1106","DZ-46"
"1107","DZ-47"
"1108","DZ-48"
"1109","EC-"
"1110","EC-A"
"1111","EC-B"
"1112","EC-C"
"1113","EC-D"
"1114","EC-E"
"1115","EC-F"
"1116","EC-G"
"1117","EC-H"
"1118","EC-I"
"1119","EC-L"
"1120","EC-M"
"1121","EC-N"
"1122","EC-O"
"1123","EC-P"
"1124","EC-R"
"1125","EC-S"
"1126","EC-SD"
"1127","EC-SE"
"1128","EC-T"
"1129","EC-U"
"1130","EC-W"
"1131","EC-X"
"1132","EC-Y"
"1133","EC-Z"
"1134","EE-"
"1135","EE-37"
"1136","EE-39"
"1137","EE-44"
"1138","EE-49"
"1139","EE-51"
"1140","EE-57"
"1141","EE-59"
"1142","EE-65"
"1143","EE-67"
"1144","EE-70"
"1145","EE-74"
"1146","EE-78"
"1147","EE-82"
"1148","EE-84"
"1149","EE-86"
"1150","EG-"
"1151","EG-ALX"
"1152","EG-ASN"
"1153","EG-AST"
"1154","EG-BA"
"1155","EG-BH"
"1156","EG-BNS"
"1157","EG-C"
"1158","EG-DK"
"1159","EG-DT"
"1160","EG-FYM"
"1161","EG-GH"
"1162","EG-GZ"
"1163","EG-IS"
"1164","EG-JS"
"1165","EG-KB"
"1166","EG-KFS"
"1167","EG-KN"
"1168","EG-LX"
"1169","EG-MN"
"1170","EG-MNF"
"1171","EG-MT"
"1172","EG-PTS"
"1173","EG-SHG"
"1174","EG-SHR"
"1175","EG-SIN"
"1176","EG-SUZ"
"1177","EG-WAD"
"1178","EH-"
"1179","ER-"
"1180","ER-AN"
"1181","ER-DK"
"1182","ER-DU"
"1183","ER-GB"
"1184","ER-MA"
"1185","ER-SK"
"1186","ES-"
"1187","ES-AN"
"1188","ES-AR"
"1189","ES-AS"
"1190","ES-CB"
"1191","ES-CE"
"1192","ES-CL"
"1193","ES-CM"
"1194","ES-CN"
"1195","ES-CT"
"1196","ES-EX"
"1197","ES-GA"
"1198","ES-IB"
"1199","ES-MC"
"1200","ES-MD"
"1201","ES-ML"
"1202","ES-NC"
"1203","ES-PV"
"1204","ES-RI"
"1205","ES-VC"
"1206","ET-"
"1207","ET-AA"
"1208","ET-AF"
"1209","ET-AM"
"1210","ET-BE"
"1211","ET-DD"
"1212","ET-GA"
"1213","ET-HA"
"1214","ET-OR"
"1215","ET-SN"
"1216","ET-SO"
"1217","ET-TI"
"1218","FI-"
"1219","FI-01"
"1220","FI-02"
"1221","FI-03"
"1222","FI-04"
"1223","FI-05"
"1224","FI-06"
"1225","FI-07"
"1226","FI-08"
"1227","FI-09"
"1228","FI-10"
"1229","FI-11"
"1230","FI-12"
"1231","FI-13"
"1232","FI-14"
"1233","FI-15"
"1234","FI-16"
"1235","FI-17"
"1236","FI-18"
"1237","FI-19"
"1238","FJ-"
"1239","FJ-C"
"1240","FJ-E"
"1241","FJ-N"
"1242","FJ-R"
"1243","FJ-W"
"1244","FK-"
"1245","FM-"
"1246","FM-KSA"
"1247","FM-PNI"
"1248","FM-TRK"
"1249","FM-YAP"
"1250","FO-"
"1251","FR-"
"1252","FR-A"
"1253","FR-B"
"1254","FR-C"
"1255","FR-D"
"1256","FR-E"
"1257","FR-F"
"1258","FR-G"
"1259","FR-H"
"1260","FR-I"
"1261","FR-J"
"1262","FR-K"
"1263","FR-L"
"1264","FR-M"
"1265","FR-N"
"1266","FR-O"
"1267","FR-P"
"1268","FR-Q"
"1269","FR-R"
"1270","FR-S"
"1271","FR-T"
"1272","FR-U"
"1273","FR-V"
"1274","GA-"
"1275","GA-1"
"1276","GA-2"
"1277","GA-3"
"1278","GA-4"
"1279","GA-5"
"1280","GA-6"
"1281","GA-7"
"1282","GA-8"
"1283","GA-9"
"1284","GB-"
"1285","GB-ENG"
"1286","GB-NIR"
"1287","GB-SCT"
"1288","GB-WLS"
"1289","GD-"
"1290","GD-01"
"1291","GD-02"
"1292","GD-03"
"1293","GD-04"
"1294","GD-05"
"1295","GD-06"
"1296","GD-10"
"1297","GE-"
"1298","GE-AB"
"1299","GE-AJ"
"1300","GE-GU"
"1301","GE-IM"
"1302","GE-KA"
"1303","GE-KK"
"1304","GE-MM"
"1305","GE-RL"
"1306","GE-SJ"
"1307","GE-SK"
"1308","GE-SZ"
"1309","GE-TB"
"1310","GF-"
"1311","GG-"
"1312","GH-"
"1313","GH-AA"
"1314","GH-AH"
"1315","GH-BA"
"1316","GH-CP"
"1317","GH-EP"
"1318","GH-NP"
"1319","GH-TV"
"1320","GH-UE"
"1321","GH-UW"
"1322","GH-WP"
"1323","GI-"
"1324","GL-"
"1325","GM-"
"1326","GM-B"
"1327","GM-L"
"1328","GM-M"
"1329","GM-N"
"1330","GM-U"
"1331","GM-W"
"1332","GN-"
"1333","GN-B"
"1334","GN-C"
"1335","GN-D"
"1336","GN-F"
"1337","GN-K"
"1338","GN-L"
"1339","GN-M"
"1340","GN-N"
"1341","GP-"
"1342","GQ-"
"1343","GQ-C"
"1344","GQ-I"
"1345","GR-"
"1346","GR-69"
"1347","GR-A"
"1348","GR-B"
"1349","GR-C"
"1350","GR-D"
"1351","GR-E"
"1352","GR-F"
"1353","GR-G"
"1354","GR-H"
"1355","GR-I"
"1356","GR-J"
"1357","GR-K"
"1358","GR-L"
"1359","GR-M"
"1360","GS-"
"1361","GT-"
"1362","GT-AV"
"1363","GT-BV"
"1364","GT-CM"
"1365","GT-CQ"
"1366","GT-ES"
"1367","GT-GU"
"1368","GT-HU"
"1369","GT-IZ"
"1370","GT-JA"
"1371","GT-JU"
"1372","GT-PE"
"1373","GT-PR"
"1374","GT-QC"
"1375","GT-QZ"
"1376","GT-RE"
"1377","GT-SA"
"1378","GT-SM"
"1379","GT-SO"
"1380","GT-SR"
"1381","GT-SU"
"1382","GT-TO"
"1383","GT-ZA"
"1384","GU-"
"1385","GW-"
"1386","GW-BS"
"1387","GW-L"
"1388","GW-N"
"1389","GW-S"
"1390","GY-"
"1391","GY-BA"
"1392","GY-CU"
"1393","GY-DE"
"1394","GY-EB"
"1395","GY-ES"
"1396","GY-MA"
"1397","GY-PM"
"1398","GY-PT"
"1399","GY-UD"
"1400","GY-UT"
"1401","HK-"
"1402","HM-"
"1403","HN-"
"1404","HN-AT"
"1405","HN-CH"
"1406","HN-CL"
"1407","HN-CM"
"1408","HN-CP"
"1409","HN-CR"
"1410","HN-EP"
"1411","HN-FM"
"1412","HN-GD"
"1413","HN-IB"
"1414","HN-IN"
"1415","HN-LE"
"1416","HN-LP"
"1417","HN-OC"
"1418","HN-OL"
"1419","HN-SB"
"1420","HN-VA"
"1421","HN-YO"
"1422","HR-"
"1423","HR-01"
"1424","HR-02"
"1425","HR-03"
"1426","HR-04"
"1427","HR-05"
"1428","HR-06"
"1429","HR-07"
"1430","HR-08"
"1431","HR-09"
"1432","HR-10"
"1433","HR-11"
"1434","HR-12"
"1435","HR-13"
"1436","HR-14"
"1437","HR-15"
"1438","HR-16"
"1439","HR-17"
"1440","HR-18"
"1441","HR-19"
"1442","HR-20"
"1443","HR-21"
"1444","HT-"
"1445","HT-AR"
"1446","HT-CE"
"1447","HT-GA"
"1448","HT-ND"
"1449","HT-NE"
"1450","HT-NI"
"1451","HT-NO"
"1452","HT-OU"
